signal,length_mm,corner,z0_ohm,driver_ohm,series_ohm,load_pf,driver_rise_ns,input_pulldown_ohm,pulldown_dc_current_at_3p3_ua,pulldown_rc_at_10pf_us,maximum_v,minimum_v,overshoot_pct,threshold_75pct_ns,rise_10_90_ns,settle_10pct_ns
A_GPIO15,16.44,low_z_fast,45.0,15.0,0.0,5.0,0.8,100000,33.0,1.0,3.6942,0.0,11.95,0.692,0.523,1.182
A_GPIO15,16.44,nominal,60.0,30.0,0.0,8.0,1.5,100000,33.0,1.0,3.3762,0.0,2.31,1.413,1.182,1.641
A_GPIO15,16.44,high_z_fast,85.0,15.0,0.0,10.0,0.8,100000,33.0,1.0,4.2924,0.0,30.07,0.873,0.573,2.58
A_GPIO15,16.44,high_c_slow,70.0,45.0,0.0,10.0,3.0,100000,33.0,1.0,3.2992,0.0,0.0,2.765,2.475,3.229
A_GPIO16,10.99,low_z_fast,45.0,15.0,0.0,5.0,0.8,100000,33.0,1.0,3.5362,0.0,7.16,0.679,0.566,0.806
A_GPIO16,10.99,nominal,60.0,30.0,0.0,8.0,1.5,100000,33.0,1.0,3.3241,0.0,0.73,1.398,1.212,1.629
A_GPIO16,10.99,high_z_fast,85.0,15.0,0.0,10.0,0.8,100000,33.0,1.0,3.9847,0.0,20.75,0.811,0.562,1.58
A_GPIO16,10.99,high_c_slow,70.0,45.0,0.0,10.0,3.0,100000,33.0,1.0,3.2992,0.0,0.0,2.743,2.495,3.211
A_GPIO17,17.3,low_z_fast,45.0,15.0,0.0,5.0,0.8,100000,33.0,1.0,3.7241,0.0,12.85,0.696,0.519,1.209
A_GPIO17,17.3,nominal,60.0,30.0,0.0,8.0,1.5,100000,33.0,1.0,3.3849,0.0,2.57,1.415,1.177,1.643
A_GPIO17,17.3,high_z_fast,85.0,15.0,0.0,10.0,0.8,100000,33.0,1.0,4.3321,0.0,31.28,0.883,0.575,2.657
A_GPIO17,17.3,high_c_slow,70.0,45.0,0.0,10.0,3.0,100000,33.0,1.0,3.2992,0.0,0.0,2.768,2.471,3.232
A_GPIO18,11.85,low_z_fast,45.0,15.0,0.0,5.0,0.8,100000,33.0,1.0,3.5567,0.0,7.78,0.679,0.558,0.803
A_GPIO18,11.85,nominal,60.0,30.0,0.0,8.0,1.5,100000,33.0,1.0,3.3318,0.0,0.96,1.401,1.207,1.631
A_GPIO18,11.85,high_z_fast,85.0,15.0,0.0,10.0,0.8,100000,33.0,1.0,4.0406,0.0,22.44,0.821,0.562,1.625
A_GPIO18,11.85,high_c_slow,70.0,45.0,0.0,10.0,3.0,100000,33.0,1.0,3.2992,0.0,0.0,2.747,2.492,3.214
A_GPIO4,13.08,low_z_fast,45.0,15.0,0.0,5.0,0.8,100000,33.0,1.0,3.5895,0.0,8.77,0.681,0.546,0.8
A_GPIO4,13.08,nominal,60.0,30.0,0.0,8.0,1.5,100000,33.0,1.0,3.3434,0.0,1.32,1.404,1.2,1.634
A_GPIO4,13.08,high_z_fast,85.0,15.0,0.0,10.0,0.8,100000,33.0,1.0,4.1149,0.0,24.69,0.835,0.565,1.687
