length_m,corner,z0_ohm,driver_ohm,series_ohm,load_pf_including_esd,driver_rise_ns,threshold_v,maximum_v,minimum_v,overshoot_pct,threshold_75pct_ns,rise_10_90_ns,settle_10pct_ns
0.25,typical,100.0,33.0,33.0,15.5,8.0,3.5,4.7207,0.0,4.9,7.83,6.063,9.01
0.25,low_z_fast,80.0,25.0,33.0,10.5,6.0,3.5,4.7383,0.0,5.3,6.006,4.49,6.888
0.25,high_z,120.0,33.0,33.0,30.5,8.0,3.5,4.7889,0.0,6.42,8.912,6.516,10.13
0.25,weak_driver_heavy_load,100.0,110.0,33.0,50.5,19.0,3.5,4.4967,0.0,0.0,23.403,23.861,30.99
0.25,typical,100.0,33.0,47.0,15.5,8.0,3.5,4.5806,0.0,1.79,8.253,6.43,9.466
0.25,low_z_fast,80.0,25.0,47.0,10.5,6.0,3.5,4.5546,0.0,1.21,6.39,4.826,7.292
0.25,high_z,120.0,33.0,47.0,30.5,8.0,3.5,4.5984,0.0,2.19,9.397,7.245,10.951
0.25,weak_driver_heavy_load,100.0,110.0,47.0,50.5,19.0,3.5,4.4962,0.0,0.0,24.495,25.597,32.969
0.25,typical,100.0,33.0,68.0,15.5,8.0,3.5,4.4977,0.0,0.0,8.816,7.181,10.339
0.25,low_z_fast,80.0,25.0,68.0,10.5,6.0,3.5,4.4967,0.0,0.0,6.895,5.56,8.125
0.25,high_z,120.0,33.0,68.0,30.5,8.0,3.5,4.4984,0.0,0.0,10.193,8.696,12.539
0.25,weak_driver_heavy_load,100.0,110.0,68.0,50.5,19.0,3.5,4.4949,0.0,0.0,26.161,28.235,35.951
0.25,typical,100.0,33.0,100.0,15.5,8.0,3.5,4.497,0.0,0.0,9.607,9.098,12.422
0.25,low_z_fast,80.0,25.0,100.0,10.5,6.0,3.5,4.4956,0.0,0.0,7.614,7.669,10.391
0.25,high_z,120.0,33.0,100.0,30.5,8.0,3.5,4.4979,0.0,0.0,11.68,11.679,15.729
0.25,weak_driver_heavy_load,100.0,110.0,100.0,50.5,19.0,3.5,4.4911,0.0,0.0,28.792,32.318,40.534
1.0,typical,100.0,33.0,33.0,15.5,8.0,3.5,5.3816,0.0,19.59,11.515,5.843,22.865
1.0,low_z_fast,80.0,25.0,33.0,10.5,6.0,3.5,5.2206,0.0,16.01,9.727,4.376,19.3
1.0,high_z,120.0,33.0,33.0,30.5,8.0,3.5,5.6492,0.0,25.54,12.887,6.75,28.333
1.0,weak_driver_heavy_load,100.0,110.0,33.0,50.5,19.0,3.5,4.4841,0.0,0.0,28.797,29.744,40.521
1.0,typical,100.0,33.0,47.0,15.5,8.0,3.5,4.9565,0.0,10.14,11.942,6.269,18.854
1.0,low_z_fast,80.0,25.0,47.0,10.5,6.0,3.5,4.7286,0.0,5.08,10.123,4.78,11.0
1.0,high_z,120.0,33.0,47.0,30.5,8.0,3.5,5.24,0.0,16.44,13.297,7.36,27.031
1.0,weak_driver_heavy_load,100.0,110.0,47.0,50.5,19.0,3.5,4.4787,0.0,0.0,30.884,32.858,43.802
1.0,typical,100.0,33.0,68.0,15.5,8.0,3.5,4.4909,0.0,0.0,12.579,7.248,14.167
1.0,low_z_fast,80.0,25.0,68.0,10.5,6.0,3.5,4.4869,0.0,0.0,10.717,6.204,12.55
1.0,high_z,120.0,33.0,68.0,30.5,8.0,3.5,4.7477,0.0,5.51,14.009,8.593,16.198
1.0,weak_driver_heavy_load,100.0,110.0,68.0,50.5,19.0,3.5,4.4656,0.0,0.0,34.435,38.1,49.323
1.0,typical,100.0,33.0,100.0,15.5,8.0,3.5,4.488,0.0,0.0,13.687,15.306,22.396
1.0,low_z_fast,80.0,25.0,100.0,10.5,6.0,3.5,4.4825,0.0,0.0,12.158,15.236,21.7
1.0,high_z,120.0,33.0,100.0,30.5,8.0,3.5,4.4917,0.0,0.0,15.461,13.199,20.99
