signal,length_mm,corner,z0_ohm,driver_ohm,series_ohm,load_pf,driver_rise_ns,maximum_v,minimum_v,overshoot_pct,threshold_75pct_ns,rise_10_90_ns,settle_10pct_ns
A_CS,45.37,low_z_fast,45.0,15.0,0.0,5.0,0.8,4.4907,0.0,36.08,0.882,0.51,2.638
A_CS,45.37,nominal,60.0,30.0,0.0,8.0,1.5,3.6956,0.0,11.99,1.538,1.083,2.584
A_CS,45.37,high_z_fast,85.0,15.0,0.0,8.0,0.8,5.0876,0.0,54.17,1.076,0.622,6.45
A_CS,45.37,high_c_slow,70.0,45.0,0.0,15.0,3.0,3.3288,0.0,0.87,3.111,2.541,3.62
A_CS,45.37,low_z_fast,45.0,15.0,22.0,5.0,0.8,3.4455,0.0,4.41,1.036,0.682,1.166
A_CS,45.37,nominal,60.0,30.0,22.0,8.0,1.5,3.3023,0.0,0.07,1.784,1.414,2.108
A_CS,45.37,high_z_fast,85.0,15.0,22.0,8.0,0.8,3.9929,0.0,21.0,1.199,0.77,2.586
A_CS,45.37,high_c_slow,70.0,45.0,22.0,15.0,3.0,3.2966,0.0,0.0,3.51,3.241,4.411
A_CS,45.37,low_z_fast,45.0,15.0,33.0,5.0,0.8,3.2941,0.0,0.0,1.122,0.885,1.386
A_CS,45.37,nominal,60.0,30.0,33.0,8.0,1.5,3.2957,0.0,0.0,1.911,1.694,2.412
A_CS,45.37,high_z_fast,85.0,15.0,33.0,8.0,0.8,3.6523,0.0,10.68,1.275,0.876,2.311
A_CS,45.37,high_c_slow,70.0,45.0,33.0,15.0,3.0,3.2961,0.0,0.0,3.74,3.673,4.892
A_CS,45.37,low_z_fast,45.0,15.0,47.0,5.0,0.8,3.2924,0.0,0.0,1.29,1.331,1.85
A_CS,45.37,nominal,60.0,30.0,47.0,8.0,1.5,3.2947,0.0,0.0,2.11,2.112,2.859
A_CS,45.37,high_z_fast,85.0,15.0,47.0,8.0,0.8,3.3683,0.0,2.07,1.391,1.066,1.673
A_CS,45.37,high_c_slow,70.0,45.0,47.0,15.0,3.0,3.2953,0.0,0.0,4.07,4.231,5.508
A_MISO,35.78,low_z_fast,45.0,15.0,0.0,5.0,0.8,4.314,0.0,30.73,0.813,0.502,2.295
A_MISO,35.78,nominal,60.0,30.0,0.0,8.0,1.5,3.5849,0.0,8.63,1.485,1.101,1.69
A_MISO,35.78,high_z_fast,85.0,15.0,0.0,8.0,0.8,4.9163,0.0,48.98,0.998,0.6,4.646
A_MISO,35.78,high_c_slow,70.0,45.0,0.0,15.0,3.0,3.3062,0.0,0.19,3.07,2.58,3.592
A_MISO,35.78,low_z_fast,45.0,15.0,22.0,5.0,0.8,3.3965,0.0,2.92,0.978,0.686,1.114
A_MISO,35.78,nominal,60.0,30.0,22.0,8.0,1.5,3.2966,0.0,0.0,1.729,1.426,2.062
A_MISO,35.78,high_z_fast,85.0,15.0,22.0,8.0,0.8,3.8627,0.0,17.05,1.127,0.752,2.297
A_MISO,35.78,high_c_slow,70.0,45.0,22.0,15.0,3.0,3.2966,0.0,0.0,3.453,3.25,4.362
A_MISO,35.78,low_z_fast,45.0,15.0,33.0,5.0,0.8,3.2941,0.0,0.0,1.063,0.876,1.319
A_MISO,35.78,nominal,60.0,30.0,33.0,8.0,1.5,3.2957,0.0,0.0,1.851,1.684,2.345
A_MISO,35.78,high_z_fast,85.0,15.0,33.0,8.0,0.8,3.549,0.0,7.55,1.205,0.863,1.394
A_MISO,35.78,high_c_slow,70.0,45.0,33.0,15.0,3.0,3.2961,0.0,0.0,3.676,3.648,4.809
A_MISO,35.78,low_z_fast,45.0,15.0,47.0,5.0,0.8,3.2924,0.0,0.0,1.214,1.24,1.701
A_MISO,35.78,nominal,60.0,30.0,47.0,8.0,1.5,3.2947,0.0,0.0,2.038,2.051,2.74
A_MISO,35.78,high_z_fast,85.0,15.0,47.0,8.0,0.8,3.3219,0.0,0.66,1.327,1.076,1.624
A_MISO,35.78,high_c_slow,70.0,45.0,47.0,15.0,3.0,3.2953,0.0,0.0,3.988,4.165,5.39
A_MOSI,36.65,low_z_fast,45.0,15.0,0.0,5.0,0.8,4.3342,0.0,31.34,0.819,0.502,2.328
A_MOSI,36.65,nominal,60.0,30.0,0.0,8.0,1.5,3.5952,0.0,8.95,1.489,1.099,1.694
A_MOSI,36.65,high_z_fast,85.0,15.0,0.0,8.0,0.8,4.9328,0.0,49.48,1.005,0.601,4.709
A_MOSI,36.65,high_c_slow,70.0,45.0,0.0,15.0,3.0,3.3078,0.0,0.24,3.073,2.576,3.593
A_MOSI,36.65,low_z_fast,45.0,15.0,22.0,5.0,0.8,3.4013,0.0,3.07,0.983,0.686,1.118
A_MOSI,36.65,nominal,60.0,30.0,22.0,8.0,1.5,3.2967,0.0,0.0,1.734,1.424,2.066
A_MOSI,36.65,high_z_fast,85.0,15.0,22.0,8.0,0.8,3.8758,0.0,17.45,1.133,0.754,2.325
A_MOSI,36.65,high_c_slow,70.0,45.0,22.0,15.0,3.0,3.2966,0.0,0.0,3.459,3.249,4.366
A_MOSI,36.65,low_z_fast,45.0,15.0,33.0,5.0,0.8,3.2941,0.0,0.0,1.068,0.877,1.323
A_MOSI,36.65,nominal,60.0,30.0,33.0,8.0,1.5,3.2957,0.0,0.0,1.856,1.685,2.351
A_MOSI,36.65,high_z_fast,85.0,15.0,33.0,8.0,0.8,3.5593,0.0,7.86,1.212,0.864,1.402
A_MOSI,36.65,high_c_slow,70.0,45.0,33.0,15.0,3.0,3.2961,0.0,0.0,3.682,3.65,4.817
A_MOSI,36.65,low_z_fast,45.0,15.0,47.0,5.0,0.8,3.2924,0.0,0.0,1.221,1.248,1.714
A_MOSI,36.65,nominal,60.0,30.0,47.0,8.0,1.5,3.2947,0.0,0.0,2.044,2.056,2.751
A_MOSI,36.65,high_z_fast,85.0,15.0,47.0,8.0,0.8,3.3256,0.0,0.78,1.332,1.074,1.629
A_MOSI,36.65,high_c_slow,70.0,45.0,47.0,15.0,3.0,3.2953,0.0,0.0,3.996,4.171,5.4
A_SCLK,34.46,low_z_fast,45.0,15.0,0.0,5.0,0.8,4.2816,0.0,29.75,0.804,0.501,2.243
A_SCLK,34.46,nominal,60.0,30.0,0.0,8.0,1.5,3.5693,0.0,8.16,1.478,1.104,1.684
A_SCLK,34.46,high_z_fast,85.0,15.0,0.0,8.0,0.8,4.8897,0.0,48.17,0.987,0.596,4.551
A_SCLK,34.46,high_c_slow,70.0,45.0,0.0,15.0,3.0,3.3039,0.0,0.12,3.064,2.585,3.587
A_SCLK,34.46,low_z_fast,45.0,15.0,22.0,5.0,0.8,3.3891,0.0,2.7,0.97,0.687,1.105
A_SCLK,34.46,nominal,60.0,30.0,22.0,8.0,1.5,3.2965,0.0,0.0,1.722,1.427,2.056
A_SCLK,34.46,high_z_fast,85.0,15.0,22.0,8.0,0.8,3.8421,0.0,16.43,1.116,0.749,2.252
A_SCLK,34.46,high_c_slow,70.0,45.0,22.0,15.0,3.0,3.2966,0.0,0.0,3.446,3.251,4.355
A_SCLK,34.46,low_z_fast,45.0,15.0,33.0,5.0,0.8,3.2941,0.0,0.0,1.055,0.875,1.31
A_SCLK,34.46,nominal,60.0,30.0,33.0,8.0,1.5,3.2957,0.0,0.0,1.843,1.683,2.334
A_SCLK,34.46,high_z_fast,85.0,15.0,33.0,8.0,0.8,3.5332,0.0,7.07,1.196,0.862,1.386
A_SCLK,34.46,high_c_slow,70.0,45.0,33.0,15.0,3.0,3.2961,0.0,0.0,3.667,3.645,4.799
A_SCLK,34.46,low_z_fast,45.0,15.0,47.0,5.0,0.8,3.2924,0.0,0.0,1.203,1.228,1.682
A_SCLK,34.46,nominal,60.0,30.0,47.0,8.0,1.5,3.2947,0.0,0.0,2.028,2.043,2.724
A_SCLK,34.46,high_z_fast,85.0,15.0,47.0,8.0,0.8,3.3167,0.0,0.51,1.318,1.078,1.619
A_SCLK,34.46,high_c_slow,70.0,45.0,47.0,15.0,3.0,3.2953,0.0,0.0,3.977,4.156,5.371
B_CS,69.31,low_z_fast,45.0,15.0,0.0,5.0,0.8,4.8224,0.0,46.13,1.03,0.522,4.349
B_CS,69.31,nominal,60.0,30.0,0.0,8.0,1.5,3.9234,0.0,18.89,1.687,1.073,3.19
B_CS,69.31,high_z_fast,85.0,15.0,0.0,8.0,0.8,5.3648,0.0,62.57,1.254,0.675,8.379
B_CS,69.31,high_c_slow,70.0,45.0,0.0,15.0,3.0,3.4053,0.0,3.19,3.225,2.465,3.697
B_CS,69.31,low_z_fast,45.0,15.0,22.0,5.0,0.8,3.5319,0.0,7.03,1.185,0.688,1.317
